age,balance,marital,job,education,housing,loan,month,day,campaign,duration,deposit
59,2343,0,0,0,0,0,0,5,1,1042,0
56,45,0,0,0,1,0,0,5,1,1467,0
41,1270,0,1,0,0,0,0,5,1,1389,0
55,2476,0,2,0,0,0,0,5,1,579,0
54,184,0,0,1,1,0,0,5,2,673,0
42,0,1,3,1,0,1,0,5,2,562,0
56,830,0,3,1,0,1,0,6,1,1201,0
60,545,2,4,0,0,0,0,6,1,1030,0
37,1,0,1,0,0,0,0,6,1,608,0
28,5090,1,2,0,0,0,0,6,3,1297,0
38,100,1,0,0,0,0,0,7,1,786,0
30,309,0,5,0,0,0,0,7,2,1574,0
29,199,0,3,1,0,1,0,7,4,1689,0
46,460,1,5,1,0,0,0,7,2,1102,0
31,703,1,1,1,0,0,0,8,2,943,0
35,3837,2,3,1,0,0,0,8,1,1084,0
32,611,1,5,2,0,0,0,8,3,541,0
49,-8,0,2,0,0,0,0,8,1,1119,0
41,55,0,0,0,0,0,0,8,2,1120,0
49,168,2,0,0,0,1,0,8,1,513,0
28,785,2,0,0,0,0,0,8,2,442,0
43,2067,1,3,1,0,0,0,8,1,756,0
43,388,2,3,1,0,0,0,8,2,2087,0
43,-192,0,5,2,0,0,0,8,2,1120,0
37,381,1,6,0,0,0,0,8,2,985,0
35,40,1,5,0,0,0,0,9,4,617,0
31,22,1,1,1,0,0,0,9,3,483,0
43,3,1,5,0,0,0,0,9,3,929,0
31,307,0,0,0,0,0,0,9,1,538,0
28,759,1,5,0,0,0,0,9,1,710,0
32,-1,0,5,0,0,0,0,9,1,653,0
60,65,0,1,2,0,0,0,9,2,1028,0
26,82,1,5,0,0,0,0,9,1,654,0
40,10,0,5,0,0,0,0,9,2,1692,0
33,390,2,5,2,0,0,0,9,2,665,0
32,311,1,3,1,1,0,0,12,2,757,0
35,414,0,5,2,1,0,0,13,4,504,0
33,5,2,3,0,0,0,0,13,1,1346,0
38,119,0,3,1,0,0,0,13,4,568,0
23,4,1,7,2,0,0,0,13,2,395,0
60,1262,0,5,2,0,1,0,13,1,1015,0
48,1949,0,3,1,0,0,0,13,2,683,0
45,-395,2,7,1,0,0,0,13,1,470,0
36,1165,0,5,0,0,0,0,13,4,1001,0
52,2240,0,3,3,0,0,0,13,1,845,0
35,300,2,5,2,0,0,0,13,2,945,0
43,3285,0,1,0,0,0,0,13,2,1721,0
52,3923,0,8,0,0,0,0,14,3,942,0
53,1443,2,1,2,0,0,0,14,1,476,0
48,24,2,5,2,0,0,0,14,1,832,0
41,1618,1,5,2,0,0,0,14,1,1553,0
39,517,2,3,1,0,1,0,14,1,1328,0
59,1521,0,4,0,0,1,0,14,2,1125,0
41,2823,0,5,0,0,0,0,14,1,858,0
48,1405,0,5,0,0,0,0,14,2,629,0
40,1535,0,0,0,0,0,0,14,1,704,0
48,1596,0,5,0,0,0,0,14,1,760,0
60,1542,0,4,2,0,0,0,14,1,930,0
40,3652,1,1,3,0,0,0,14,2,1028,0
57,-1,0,1,1,1,0,0,14,2,850,0
51,7180,0,5,0,0,0,0,14,1,927,0
41,5291,2,5,0,0,0,0,14,3,1423,0
41,1384,0,5,0,0,0,0,15,4,1162,0
52,-191,2,5,2,0,0,0,15,1,755,0
59,320,0,5,2,0,0,0,15,1,695,0
44,146,0,5,3,0,0,0,15,1,483,0
49,341,0,9,2,0,1,0,15,2,520,0
40,-9,0,2,2,0,0,0,15,2,920,0
41,-306,0,0,2,0,0,0,15,1,500,0
44,4580,0,1,1,0,0,0,15,2,911,0
60,313,1,2,2,0,0,0,15,2,920,0
29,10576,0,3,1,1,0,0,15,2,1224,0
41,-233,2,4,2,0,0,0,15,2,1156,0
41,2453,0,5,2,0,0,0,15,1,1052,0
42,1364,1,1,0,0,0,0,15,6,1867,0
36,281,1,2,3,0,0,0,16,1,515,0
39,94,0,1,1,0,1,0,16,1,813,0
31,144,1,10,1,0,0,0,16,1,676,0
26,246,0,5,0,0,0,0,16,3,1143,0
31,92,0,5,0,0,0,0,16,1,688,0
29,163,1,0,0,0,1,0,16,1,803,0
37,49,2,2,0,0,0,0,16,2,619,0
33,-416,1,5,0,0,0,0,16,2,767,0
24,409,1,1,0,0,0,0,16,1,912,0
50,363,2,0,0,0,0,0,16,1,1340,0
27,3706,1,1,1,0,0,0,16,1,897,0
54,4393,1,3,1,0,0,0,16,3,1297,0
30,863,1,1,0,0,0,0,16,5,1193,0
34,695,0,5,2,0,1,0,16,4,1064,0
37,792,1,3,0,0,0,0,16,4,1187,0
41,1020,1,0,0,0,0,0,19,1,882,0
47,863,0,5,0,0,0,0,19,2,943,0
31,97,0,0,0,0,0,0,19,1,607,0
31,754,0,5,0,0,0,0,19,4,1022,0
43,1040,2,2,0,0,0,0,19,3,552,0
37,122,2,3,1,0,0,0,19,2,1622,0
30,880,1,1,1,0,1,0,19,6,967,0
41,501,0,1,0,0,0,0,19,5,579,0
36,4438,0,5,0,0,0,0,20,1,446,0
35,0,2,5,0,0,0,0,20,1,1205,0
29,271,1,2,0,0,0,0,20,2,1882,0
35,102,0,5,2,0,0,0,20,1,1334,0
31,2,0,5,0,0,0,0,20,2,182,0
35,4170,0,2,0,0,0,0,20,1,1777,0
34,85,1,1,0,0,0,0,20,4,1182,0
31,431,1,0,0,0,1,0,20,1,1045,0
44,982,2,1,0,0,0,0,20,3,650,0
36,408,0,5,2,0,1,0,20,2,1063,0
35,4822,0,5,3,0,0,0,20,2,843,0
41,1250,0,5,2,0,0,0,20,2,1392,0
31,216,1,5,2,0,0,0,21,1,565,0
34,1207,0,5,0,0,0,0,21,1,905,0
32,791,0,1,0,0,0,0,21,2,783,0
36,849,0,3,1,0,1,0,21,2,958,0
30,239,1,5,0,0,0,0,21,1,412,0
37,1211,1,1,0,0,0,0,21,1,795,0
36,599,0,5,2,0,0,0,21,2,649,0
31,825,1,3,1,0,0,0,21,2,506,0
27,2183,0,1,0,0,1,0,21,1,857,0
34,4499,0,4,2,1,0,0,21,1,1681,0
30,1289,1,1,1,0,0,0,21,2,1697,0
32,4665,1,1,1,0,0,0,21,2,860,0
37,3326,1,1,0,0,0,0,21,1,799,0
32,783,0,5,0,0,0,0,21,3,923,0
33,0,0,5,0,0,0,0,21,3,521,0
35,994,0,5,2,0,0,0,23,8,1349,0
35,1354,2,10,1,0,0,0,23,2,736,0
30,239,1,5,0,0,0,0,23,1,785,0
45,-311,2,5,2,0,0,0,23,1,1030,0
45,149,0,0,0,0,0,0,23,3,893,0
33,1464,0,5,0,0,0,0,23,3,588,0
44,5773,2,3,1,1,0,0,23,6,597,0
40,278,0,5,2,0,0,0,23,3,1015,0
31,2910,0,5,0,0,0,0,23,2,1392,0
30,541,0,1,1,0,0,0,26,2,414,0
44,1262,2,1,0,0,0,0,26,11,788,0
34,-538,0,2,0,0,0,0,26,1,682,0
37,125,0,5,0,1,0,0,26,2,679,0
28,0,1,10,1,0,0,0,26,2,1560,0
32,620,1,0,0,0,0,0,26,3,1234,0
37,316,2,5,0,0,0,0,26,2,642,0
34,2287,0,3,1,0,0,0,26,4,895,0
38,198,2,0,0,0,0,0,26,2,431,0
28,460,1,0,0,0,0,0,26,6,741,0
31,1145,2,3,1,0,0,0,26,4,1272,0
59,-22,0,2,0,0,0,0,26,3,748,0
24,685,0,5,0,0,0,0,26,3,896,0
26,901,1,2,0,0,0,0,26,2,764,0
59,351,1,4,0,0,0,0,27,5,1063,0
30,0,1,7,2,0,1,0,27,1,1051,0
37,274,0,0,0,0,0,0,27,3,731,0
30,-213,1,0,0,0,1,0,27,1,751,0
25,97,0,5,0,0,0,0,27,1,709,0
44,51,2,2,0,0,1,0,27,2,3094,0
29,314,0,3,1,1,0,0,28,2,938,0
26,6840,1,3,1,0,0,0,28,2,1560,0
26,668,1,1,0,0,0,0,28,3,576,0
27,54,1,2,0,0,0,0,28,2,543,0
25,1242,1,10,0,0,0,0,28,2,615,0
28,292,0,3,0,0,0,0,28,1,507,0
23,665,1,2,0,0,0,0,28,1,1183,0
34,1058,1,3,1,0,0,0,28,2,864,0
28,949,1,11,0,0,0,0,28,1,1730,0
51,606,0,7,3,0,0,0,28,9,560,0
35,0,0,5,0,0,1,0,29,1,543,0
35,404,0,0,0,0,0,0,29,1,539,0
56,249,0,5,0,0,0,0,29,2,791,0
45,3354,2,6,0,0,0,0,29,1,746,0
60,0,2,5,0,0,0,0,29,1,1207,0
56,589,0,1,0,0,0,0,29,2,535,0
27,12956,1,3,1,0,0,0,29,3,789,0
30,873,0,0,0,0,0,0,29,3,792,0
45,594,2,5,2,0,0,0,29,2,833,0
29,-20,1,5,0,0,0,0,29,2,814,0
38,4692,2,3,1,0,0,0,29,2,1363,0
30,486,0,5,0,0,0,0,29,3,1109,0
44,1593,1,5,2,0,0,0,29,3,828,0
36,7606,1,3,1,0,0,0,30,1,917,0
38,226,0,1,0,0,0,0,30,3,762,0
36,366,1,5,0,0,1,0,30,2,1133,0
37,16,2,3,0,0,0,0,30,1,638,0
35,565,1,3,1,0,0,0,30,1,763,0
38,19,2,0,0,0,0,0,30,2,604,0
40,1082,0,2,2,0,0,0,30,2,854,0
42,1713,2,6,0,0,0,0,30,2,855,0
46,14481,2,3,1,0,0,0,30,1,1269,0
35,5724,2,1,0,0,0,0,30,10,691,0
34,1451,2,1,0,0,0,0,30,15,1097,0
32,-34,0,2,0,0,0,0,30,2,1236,0
50,3674,0,6,0,0,0,0,30,3,886,0
35,698,0,5,0,0,1,0,30,3,1343,0
36,4136,1,1,0,0,0,0,30,3,812,0
53,2656,2,5,2,0,0,0,30,2,1980,0
46,2904,1,3,1,0,0,0,30,2,984,0
26,1004,1,3,1,0,0,0,30,2,228,0
45,410,1,1,0,0,0,0,30,4,891,0
31,0,2,6,2,0,0,0,30,12,745,0
29,0,1,3,1,0,0,0,30,12,539,0
53,62,1,7,0,0,0,0,30,5,1044,0
27,416,0,5,2,0,0,0,30,2,1193,0
39,2763,0,3,1,0,0,1,2,2,526,0
36,2984,0,2,0,0,0,1,2,1,394,0
41,143,0,5,2,0,1,1,2,2,659,0
36,0,0,2,2,0,0,1,2,1,1036,0
32,696,0,1,0,0,0,1,2,1,815,0
35,152,0,2,0,0,0,1,2,1,563,0
36,-78,1,3,1,0,0,1,2,1,1068,0
35,867,0,3,1,0,0,1,2,3,230,0
30,953,1,5,0,0,0,1,2,2,747,0
42,443,0,5,0,0,0,1,2,5,671,0
42,-1129,1,1,0,0,0,1,2,5,555,0
32,415,0,5,2,0,0,1,2,4,777,0
29,260,1,5,0,0,0,1,2,14,707,0
44,-411,2,3,1,0,0,1,2,4,432,0
32,1279,1,1,0,0,0,1,3,3,1173,0
31,86,0,6,0,0,1,1,3,2,963,0
40,-754,0,10,0,0,1,1,3,3,941,0
43,0,0,7,0,1,0,1,3,7,1025,0
27,178,1,3,0,0,0,1,3,2,732,0
37,278,1,2,0,0,0,1,3,3,1045,0
23,425,1,2,0,0,0,1,3,1,768,0
25,168,0,3,2,0,0,1,3,1,801,0
26,-36,1,5,0,0,0,1,3,2,482,0
47,126,2,5,2,0,0,1,3,2,2456,0
35,-87,0,0,0,0,0,1,3,7,1363,0
32,6281,1,1,1,0,0,1,3,4,1336,0
45,644,2,3,0,0,0,1,4,1,633,0
30,377,2,0,0,0,0,1,4,15,524,0
29,-271,1,2,0,0,0,1,4,1,578,0
38,5839,0,5,2,0,0,1,4,2,984,0
23,492,1,5,0,0,0,1,4,1,638,0
27,99,1,3,1,0,0,1,4,2,767,0
27,-713,1,3,1,0,0,1,4,2,525,0
29,32,1,2,0,0,0,1,4,1,563,0
30,543,0,10,1,0,1,1,4,6,1449,0
36,403,0,5,2,0,0,1,4,1,920,0
35,437,2,0,0,0,0,1,4,1,908,0
36,1772,0,5,0,1,0,1,5,1,208,0
59,-88,2,4,2,0,0,1,5,2,910,0
47,0,0,7,0,1,0,1,5,1,1446,0
58,853,0,7,1,1,0,1,5,2,1149,0
37,240,1,3,1,1,0,1,5,1,1123,0
46,849,1,0,0,0,0,1,5,2,508,0
43,318,1,5,0,0,0,1,5,2,736,0
27,703,1,3,1,0,0,1,5,3,590,0
38,61,2,2,0,1,0,1,5,1,636,0
53,104,0,8,2,1,1,1,5,1,701,0
47,1996,0,5,0,1,0,1,5,2,761,0
56,1238,2,8,2,1,0,1,5,1,1558,0
41,879,0,8,0,1,0,1,5,2,1053,0
29,425,0,10,0,0,0,1,5,15,562,0
50,416,0,1,0,0,0,1,5,5,494,0
45,844,2,5,2,1,0,1,5,3,1018,0
35,860,0,5,0,0,0,1,5,4,884,0
26,639,1,1,0,0,0,1,6,5,709,0
26,710,0,0,0,0,1,1,6,2,1276,0
37,1508,0,5,3,1,1,1,6,2,381,0
30,223,1,0,0,0,0,1,6,11,862,0
38,619,1,3,1,0,0,1,6,4,460,0
37,319,2,2,0,0,0,1,6,3,467,0
53,480,0,1,0,1,0,1,6,2,648,0
29,213,1,5,2,0,0,1,6,3,2653,0
35,68,1,3,1,1,0,1,6,1,1085,0
28,2788,0,5,0,0,0,1,6,2,369,0
55,7561,0,5,3,1,0,1,6,3,685,0
49,-46,2,3,0,0,0,1,9,10,1055,0
50,1595,0,2,0,1,0,1,9,1,882,0
43,1046,1,3,1,1,0,1,9,1,901,0
58,1382,2,10,1,1,0,1,9,1,700,0
38,217,0,1,2,0,0,1,9,6,491,0
48,183,2,5,2,1,0,1,9,1,940,0
59,1321,0,3,0,1,0,1,9,3,3881,0
58,25,0,5,0,1,0,1,9,3,486,0
36,4844,1,10,1,1,0,1,9,3,1137,0
42,5345,0,7,1,1,0,1,11,3,878,0
41,812,1,0,0,1,1,1,11,4,583,0
42,105,0,0,0,1,0,1,11,4,1159,0
39,-190,0,3,1,1,1,1,11,8,893,0
57,625,0,8,2,1,1,1,11,1,867,0
52,293,0,4,3,1,0,1,11,1,706,0
59,1033,0,4,3,1,0,1,11,1,1199,0
56,1210,0,5,0,1,0,1,11,1,935,0
