[time: 2021-09-09 08:55:52] | [pid: 127294 pnm: MainProcess] | [fnm: preprocess_chain.py] | [lno: 80] | [func: __init__] | [INFO : Creating type inference object.] 
[time: 2021-09-09 08:55:52] | [pid: 127294 pnm: MainProcess] | [fnm: preprocess_chain.py] | [lno: 93] | [func: __init__] | [INFO : Creating data clear object.] 
[time: 2021-09-09 08:55:52] | [pid: 127294 pnm: MainProcess] | [fnm: preprocess_chain.py] | [lno: 108] | [func: __init__] | [INFO : Creating label encoding object.] 
[time: 2021-09-09 08:55:52] | [pid: 127294 pnm: MainProcess] | [fnm: preprocess_chain.py] | [lno: 122] | [func: __init__] | [INFO : Creating feature generator object] 
[time: 2021-09-09 08:55:52] | [pid: 127294 pnm: MainProcess] | [fnm: preprocess_chain.py] | [lno: 135] | [func: __init__] | [INFO : Creating unsupervised feature selector object.] 
[time: 2021-09-09 08:55:52] | [pid: 127294 pnm: MainProcess] | [fnm: preprocess_chain.py] | [lno: 194] | [func: _train_run] | [INFO : Starting loading data...] 
[time: 2021-09-09 08:55:52] | [pid: 127294 pnm: MainProcess] | [fnm: plain_dataset.py] | [lno: 122] | [func: load_data] | [INFO : .csv file has been converted to Bunch object.] 
[time: 2021-09-09 08:55:52] | [pid: 127294 pnm: MainProcess] | [fnm: plain_dataset.py] | [lno: 122] | [func: load_data] | [INFO : .csv file has been converted to Bunch object.] 
[time: 2021-09-09 08:55:52] | [pid: 127294 pnm: MainProcess] | [fnm: preprocess_chain.py] | [lno: 216] | [func: _train_run] | [INFO : Starting type inference.] 
[time: 2021-09-09 08:55:52] | [pid: 127294 pnm: MainProcess] | [fnm: plain_type_inference.py] | [lno: 235] | [func: _check_init_final_conf] | [INFO : age feature's ftype is different between yaml file and type inference.] 
[time: 2021-09-09 08:55:52] | [pid: 127294 pnm: MainProcess] | [fnm: plain_type_inference.py] | [lno: 227] | [func: _check_init_final_conf] | [INFO : job feature's index is different between yaml file and type inference.] 
[time: 2021-09-09 08:55:52] | [pid: 127294 pnm: MainProcess] | [fnm: plain_type_inference.py] | [lno: 239] | [func: _check_init_final_conf] | [INFO : Customized feature marital matches type inference. ] 
[time: 2021-09-09 08:55:52] | [pid: 127294 pnm: MainProcess] | [fnm: plain_type_inference.py] | [lno: 227] | [func: _check_init_final_conf] | [INFO : education feature's index is different between yaml file and type inference.] 
[time: 2021-09-09 08:55:52] | [pid: 127294 pnm: MainProcess] | [fnm: plain_type_inference.py] | [lno: 227] | [func: _check_init_final_conf] | [INFO : balance feature's index is different between yaml file and type inference.] 
[time: 2021-09-09 08:55:52] | [pid: 127294 pnm: MainProcess] | [fnm: plain_type_inference.py] | [lno: 235] | [func: _check_init_final_conf] | [INFO : housing feature's ftype is different between yaml file and type inference.] 
[time: 2021-09-09 08:55:52] | [pid: 127294 pnm: MainProcess] | [fnm: plain_type_inference.py] | [lno: 235] | [func: _check_init_final_conf] | [INFO : loan feature's ftype is different between yaml file and type inference.] 
[time: 2021-09-09 08:55:52] | [pid: 127294 pnm: MainProcess] | [fnm: plain_type_inference.py] | [lno: 227] | [func: _check_init_final_conf] | [INFO : day feature's index is different between yaml file and type inference.] 
[time: 2021-09-09 08:55:52] | [pid: 127294 pnm: MainProcess] | [fnm: plain_type_inference.py] | [lno: 227] | [func: _check_init_final_conf] | [INFO : month feature's index is different between yaml file and type inference.] 
[time: 2021-09-09 08:55:52] | [pid: 127294 pnm: MainProcess] | [fnm: plain_type_inference.py] | [lno: 227] | [func: _check_init_final_conf] | [INFO : duration feature's index is different between yaml file and type inference.] 
[time: 2021-09-09 08:55:52] | [pid: 127294 pnm: MainProcess] | [fnm: plain_type_inference.py] | [lno: 227] | [func: _check_init_final_conf] | [INFO : campaign feature's index is different between yaml file and type inference.] 
[time: 2021-09-09 08:55:52] | [pid: 127294 pnm: MainProcess] | [fnm: plain_type_inference.py] | [lno: 241] | [func: _check_init_final_conf] | [INFO : time feature dose not exist in type inference.] 
[time: 2021-09-09 08:55:52] | [pid: 127294 pnm: MainProcess] | [fnm: preprocess_chain.py] | [lno: 220] | [func: _train_run] | [INFO : Starting data clear.] 
[time: 2021-09-09 08:55:52] | [pid: 127294 pnm: MainProcess] | [fnm: plain_data_clear.py] | [lno: 54] | [func: _train_run] | [INFO : Data clear component flag: True] 
[time: 2021-09-09 08:55:52] | [pid: 127294 pnm: MainProcess] | [fnm: plain_data_clear.py] | [lno: 58] | [func: _train_run] | [INFO : Running clean() method and clearing, with current memory usage: 0.26 GiB] 
[time: 2021-09-09 08:55:52] | [pid: 127294 pnm: MainProcess] | [fnm: plain_data_clear.py] | [lno: 65] | [func: _train_run] | [INFO : Data clearing feature configuration is generating, with current memory usage: 0.26 GiB] 
[time: 2021-09-09 08:55:52] | [pid: 127294 pnm: MainProcess] | [fnm: plain_data_clear.py] | [lno: 69] | [func: _train_run] | [INFO : Data clearing impute models serializing, with current memory usage: 0.26 GiB] 
[time: 2021-09-09 08:55:52] | [pid: 127294 pnm: MainProcess] | [fnm: plain_data_clear.py] | [lno: 73] | [func: _train_run] | [INFO : Clear object and save memory , with current memory usage: 0.26 GiB] 
[time: 2021-09-09 08:55:52] | [pid: 127294 pnm: MainProcess] | [fnm: plain_data_clear.py] | [lno: 78] | [func: _train_run] | [INFO : Data clear has finished, with current memory usage: 0.26 GiB] 
[time: 2021-09-09 08:55:52] | [pid: 127294 pnm: MainProcess] | [fnm: preprocess_chain.py] | [lno: 229] | [func: _train_run] | [INFO : Starting encoding features and labels.] 
[time: 2021-09-09 08:55:52] | [pid: 127294 pnm: MainProcess] | [fnm: plain_label_encode.py] | [lno: 47] | [func: _train_run] | [INFO : Starting label encoding, with current memory usage: 0.26 GiB] 
[time: 2021-09-09 08:55:52] | [pid: 127294 pnm: MainProcess] | [fnm: plain_label_encode.py] | [lno: 131] | [func: __encode_label] | [INFO : Label encoding finished, starting to reduce dataframe and save memory, with current memory usage: 0.26 GiB] 
[time: 2021-09-09 08:55:52] | [pid: 127294 pnm: MainProcess] | [fnm: plain_label_encode.py] | [lno: 51] | [func: _train_run] | [INFO : Label encoding serialize, with current memory usage: 0.26 GiB] 
[time: 2021-09-09 08:55:52] | [pid: 127294 pnm: MainProcess] | [fnm: preprocess_chain.py] | [lno: 232] | [func: _train_run] | [INFO : Starting feature generation.] 
[time: 2021-09-09 08:55:52] | [pid: 127294 pnm: MainProcess] | [fnm: featuretools_generation.py] | [lno: 48] | [func: _train_run] | [INFO : Loading Data clearing feature configuration, with current memory usage: 0.26 GiB] 
[time: 2021-09-09 08:55:52] | [pid: 127294 pnm: MainProcess] | [fnm: featuretools_generation.py] | [lno: 53] | [func: _train_run] | [INFO : Feature generation component flag: True, with current memory usage: 0.26 GiB] 
[time: 2021-09-09 08:55:52] | [pid: 127294 pnm: MainProcess] | [fnm: featuretools_generation.py] | [lno: 98] | [func: _ft_generator] | [INFO : Featuretools EntitySet object constructs, with current memory usage: 0.26 GiB] 
[time: 2021-09-09 08:55:53] | [pid: 127294 pnm: MainProcess] | [fnm: featuretools_generation.py] | [lno: 116] | [func: _ft_generator] | [INFO : DFS method prepares to start, with current memory usage: 0.27 GiB] 
[time: 2021-09-09 08:55:53] | [pid: 127294 pnm: MainProcess] | [fnm: featuretools_generation.py] | [lno: 121] | [func: _ft_generator] | [INFO : Remove original dataset, with current memory usage: 0.28 GiB] 
[time: 2021-09-09 08:55:53] | [pid: 127294 pnm: MainProcess] | [fnm: featuretools_generation.py] | [lno: 124] | [func: _ft_generator] | [INFO : Clean dataset method prepares to start, with current memory usage: 0.28 GiB] 
[time: 2021-09-09 08:55:53] | [pid: 127294 pnm: MainProcess] | [fnm: featuretools_generation.py] | [lno: 128] | [func: _ft_generator] | [INFO : Clear data and save memory, with current memory usage: 0.28 GiB] 
[time: 2021-09-09 08:55:53] | [pid: 127294 pnm: MainProcess] | [fnm: featuretools_generation.py] | [lno: 133] | [func: _ft_generator] | [INFO : Update bunch object and add generated feature names, with current memory usage: 0.28 GiB] 
[time: 2021-09-09 08:55:53] | [pid: 127294 pnm: MainProcess] | [fnm: featuretools_generation.py] | [lno: 59] | [func: _train_run] | [INFO : Feature generation's feature configuration is generating, with current memory usage: 0.28 GiB] 
[time: 2021-09-09 08:55:53] | [pid: 127294 pnm: MainProcess] | [fnm: preprocess_chain.py] | [lno: 236] | [func: _train_run] | [INFO : Starting unsupervised feature selector.] 
[time: 2021-09-09 08:55:53] | [pid: 127294 pnm: MainProcess] | [fnm: unsupervised_feature_selector.py] | [lno: 50] | [func: _train_run] | [INFO : Unsupervised feature selector component flag: True] 
[time: 2021-09-09 08:55:53] | [pid: 127294 pnm: MainProcess] | [fnm: unsupervised_feature_selector.py] | [lno: 53] | [func: _train_run] | [INFO : Remove datetime features, with current memory usage: 0.28 GiB] 
[time: 2021-09-09 08:55:53] | [pid: 127294 pnm: MainProcess] | [fnm: unsupervised_feature_selector.py] | [lno: 60] | [func: _train_run] | [INFO : Starting unsupervised feature selecting, method: featuretools feature selection, with current memory usage: 0.28 GiB] 
[time: 2021-09-09 08:55:53] | [pid: 127294 pnm: MainProcess] | [fnm: unsupervised_feature_selector.py] | [lno: 99] | [func: _ft_method] | [INFO : Starting to remove low information features, with current memory usage: 0.28 GiB, total features: 220] 
[time: 2021-09-09 08:55:53] | [pid: 127294 pnm: MainProcess] | [fnm: unsupervised_feature_selector.py] | [lno: 103] | [func: _ft_method] | [INFO : Starting to remove highly null features, with current memory usage: 0.28 GiB, total features: 163] 
[time: 2021-09-09 08:55:53] | [pid: 127294 pnm: MainProcess] | [fnm: unsupervised_feature_selector.py] | [lno: 107] | [func: _ft_method] | [INFO : Starting to remove single value features, with current memory usage: 0.28 GiB, total features: 163] 
[time: 2021-09-09 08:55:53] | [pid: 127294 pnm: MainProcess] | [fnm: unsupervised_feature_selector.py] | [lno: 115] | [func: _ft_method] | [INFO : Unsupervised feature selecting has finished, with current memory usage: 0.28 GiB, total features: 163] 
[time: 2021-09-09 08:55:53] | [pid: 127294 pnm: MainProcess] | [fnm: preprocess_chain.py] | [lno: 243] | [func: _train_run] | [INFO : Dataset preprocessing has finished.] 
[time: 2021-09-09 08:55:53] | [pid: 127294 pnm: MainProcess] | [fnm: supervised_feature_selector.py] | [lno: 175] | [func: _train_run] | [INFO : Starting training supervised selectors, with current memory usage: 0.28 GiB] 
[time: 2021-09-09 08:55:53] | [pid: 127294 pnm: MainProcess] | [fnm: supervised_feature_selector.py] | [lno: 191] | [func: _train_run] | [INFO : Loading hyperparameters and search space for supervised selector, with current memory usage: 0.28 GiB] 
[time: 2021-09-09 08:55:53] | [pid: 127294 pnm: MainProcess] | [fnm: supervised_feature_selector.py] | [lno: 217] | [func: _train_run] | [INFO : Choose supervised selector: GBDTSelector, with current memory usage: 0.28 GiB] 
[time: 2021-09-09 08:55:53] | [pid: 127294 pnm: MainProcess] | [fnm: supervised_feature_selector.py] | [lno: 249] | [func: _train_run] | [INFO : Update search space for supervised selector, with current memory usage: 0.28 GiB] 
[time: 2021-09-09 08:55:53] | [pid: 127294 pnm: MainProcess] | [fnm: supervised_feature_selector.py] | [lno: 257] | [func: _train_run] | [INFO : Starting training supervised selector models, with current memory usage: 0.28 GiB] 
[time: 2021-09-09 08:55:53] | [pid: 127294 pnm: MainProcess] | [fnm: supervised_feature_selector.py] | [lno: 264] | [func: _train_run] | [INFO : supervised selector models training, round: 0, with current memory usage: 0.28 GiB] 
[time: 2021-09-09 08:55:54] | [pid: 127294 pnm: MainProcess] | [fnm: supervised_feature_selector.py] | [lno: 292] | [func: _train_run] | [INFO : trial: 0, supervised selector training, and starting training model, with current memory usage: 0.30 GiB] 
[time: 2021-09-09 08:55:54] | [pid: 127294 pnm: MainProcess] | [fnm: supervised_feature_selector.py] | [lno: 302] | [func: _train_run] | [INFO : Parse feature configure and generate feature configure object, with current memory usage: 0.30 GiB] 
[time: 2021-09-09 08:55:54] | [pid: 127294 pnm: MainProcess] | [fnm: supervised_feature_selector.py] | [lno: 313] | [func: _train_run] | [INFO : Update hyperparameters of model, with current memory usage: 0.30 GiB] 
[time: 2021-09-09 08:55:54] | [pid: 127294 pnm: MainProcess] | [fnm: supervised_feature_selector.py] | [lno: 321] | [func: _train_run] | [INFO : Auto model training starts, with current memory usage: 0.30 GiB] 
[time: 2021-09-09 08:55:54] | [pid: 127294 pnm: MainProcess] | [fnm: tabular_auto_ml.py] | [lno: 122] | [func: _train_run] | [INFO : Starting update search space, with current memory usage: 0.30 GiB] 
[time: 2021-09-09 08:55:54] | [pid: 127294 pnm: MainProcess] | [fnm: tabular_auto_ml.py] | [lno: 133] | [func: _train_run] | [INFO : tuner algorithms: tpe, Auto machine learning trial number: 0] 
[time: 2021-09-09 08:55:54] | [pid: 127294 pnm: MainProcess] | [fnm: tabular_auto_ml.py] | [lno: 145] | [func: _train_run] | [INFO : Generate hyper parameters, with current memory usage: 0.30 GiB] 
[time: 2021-09-09 08:55:54] | [pid: 127294 pnm: MainProcess] | [fnm: tabular_auto_ml.py] | [lno: 153] | [func: _train_run] | [INFO : Send parameters to model object, with current memory usage: 0.30 GiB] 
