,result
0,0.8295101755246954
1,0.2712102667868818
2,0.9482212111753345
3,0.9527266588185107
4,0.2460134840064535
5,0.16445633366341303
6,0.9604674857522241
7,0.5416027652498533
8,0.7077477605149025
9,0.48886585854426917
10,0.8257649198302063
11,0.3673459152621005
12,0.9141499020710269
13,0.5234148028479043
14,0.8660085091210857
15,0.9328422156511046
16,0.08536612199274594
17,0.343874717212436
18,0.9464468808647322
19,0.2659813988551448
20,0.8635758934149729
21,0.11594068134161889
22,0.8229562989170958
23,0.18219930706124007
24,0.09702774568475343
25,0.9347985833768409
26,0.2101208036100305
27,0.9479026910047339
28,0.26202416062927925
29,0.3452706013268025
30,0.8109369066454056
31,0.2593072580633768
32,0.2593072580633768
33,0.9154226173840332
34,0.14518655618519516
35,0.41219365505792566
36,0.17190093661367895
37,0.8700822972145216
38,0.11862867289169134
39,0.21440447416340233
40,0.32143861723579614
41,0.7676061395062097
42,0.16139531797752177
43,0.4880782542279142
44,0.1933029474790769
45,0.8788106646375302
46,0.6343881008097043
47,0.9589612027643504
48,0.26249798838252053
49,0.1251580727176033
50,0.36793722456800904
51,0.38598206900520526
52,0.6956520269103467
53,0.6482425238148756
54,0.946929574001568
55,0.6357121615777663
56,0.8397924321148109
57,0.9076503129736543
58,0.14433890906358776
59,0.17562997370929032
60,0.9652443798451499
61,0.46869406815904546
62,0.11572327036529298
63,0.3247293746167407
64,0.618005359976494
65,0.5457250275535054
66,0.1400778443934622
67,0.23500430041996545
68,0.8913818748927091
69,0.22833297257796983
70,0.19572547580509858
71,0.9479331147554425
72,0.34705082923324126
73,0.720847871562218
74,0.945765700778099
75,0.44119455925642737
76,0.7332126035246727
77,0.8933223612125328
78,0.22866041963483946
79,0.2760564957379587
80,0.14354935661327273
81,0.9566533934207219
82,0.17962971225846297
83,0.11680618550116119
84,0.239645885200862
85,0.23274383867568896
86,0.9128401621156269
87,0.48522606852137046
88,0.10195181386082974
89,0.5430895047421231
90,0.48949886738453513
91,0.954463852900144
92,0.514316925018624
93,0.9142257447126898
94,0.8036788420765592
95,0.8565630877922946
96,0.11701685918260192
97,0.7354414302958516
98,0.8536289082375758
99,0.9486549387198081
100,0.9548862162408017
101,0.20867352648722687
102,0.38378727794538686
103,0.6789335026390165
104,0.9021660702712656
105,0.801889019869776
106,0.6855910445040136
107,0.3972650660339159
108,0.5556951778199601
109,0.21955244766783702
110,0.19412814246324242
111,0.9445649965683077
112,0.2290879707464191
113,0.22048625746931427
114,0.20257987802289643
115,0.11450751309867883
116,0.38379432875858416
117,0.2863874683265683
118,0.8807579010890862
119,0.31366347123866173
120,0.9407420268719308
121,0.9285619208558632
122,0.6119941486411768
123,0.20462301539321492
124,0.6769253650536747
125,0.6825307473337446
126,0.1314837109735656
127,0.9548862162408017
128,0.15585706113760406
129,0.8685736194293131
130,0.36459145658094955
131,0.2708533322936823
132,0.7147230639997648
133,0.7992520193991981
134,0.8783738502764735
135,0.6510862803977492
136,0.8520795404752256
137,0.9623091284631226
138,0.2736678192584484
139,0.9489615839674108
140,0.9084114964137188
141,0.5955663227531339
142,0.1809227932414384
143,0.060886925664162685
144,0.6680028375742294
145,0.13212803123189146
146,0.9542412363282157
147,0.9463876747042947
148,0.193672418602435
149,0.9503825032079927
150,0.37980530484165137
151,0.1680813017716784
152,0.3726146451178962
153,0.5242608812522661
154,0.9503635585547114
155,0.8153096987330635
156,0.2876405686092921
157,0.16564672330827204
158,0.7500398955570088
159,0.41060434157104436
160,0.876818908307191
161,0.967890372936307
162,0.8521794737462443
163,0.9339154204947141
164,0.6424766314787645
165,0.16147498890171252
166,0.8418635692869801
167,0.1633557000960703
168,0.32865773793520353
169,0.9220564101924063
170,0.09000865791109287
171,0.29321954877370093
172,0.32274856940877167
173,0.24154745672338754
174,0.7749730341575096
175,0.18962655104526238
176,0.8920481481531175
177,0.21191749203804933
178,0.7758838103105876
179,0.1630425740639037
180,0.7979943843078554
181,0.9552084383026697
182,0.07320635591748001
183,0.9269465711092947
184,0.4192963864400445
185,0.9547101319204417
186,0.1923995303740024
187,0.6375592427347313
188,0.9622645341424173
189,0.4428403354211744
190,0.11714966697026256
191,0.7144847564463749
192,0.7484775493433241
193,0.7597104569397047
194,0.9476953799123891
195,0.3545601749287521
196,0.3934464739099034
197,0.569120716018307
198,0.8906005167135945
199,0.8087569883218105
200,0.6003958582037751
201,0.9639259662260644
202,0.1745048331333514
203,0.960996632934952
204,0.9412608082281756
205,0.8863450022556971
206,0.9386133594777245
207,0.9358952751404999
208,0.551327452713599
209,0.4333006484784709
210,0.08138803910142026
211,0.0926862918605539
212,0.16450862183837967
213,0.9424652057706555
214,0.941202240811991
215,0.07504743188681391
216,0.7867727589522789
217,0.9340528986092953
218,0.7601252397226437
219,0.8967107927186567
220,0.5710892033204156
221,0.478931130816988
222,0.16695667492327076
223,0.293417871385817
224,0.1300780806121424
225,0.38368078425342506
226,0.6325317756280381
227,0.1595592102345263
228,0.21912481374713258
229,0.1963257560166138
230,0.4060178441924568
231,0.9606643005764708
232,0.8561752692144476
233,0.269181962442995
234,0.8060399513995907
235,0.2106648276799513
236,0.19770833969744037
237,0.9442322327163941
238,0.9460327854771061
239,0.8538279974560233
240,0.2081604514356199
241,0.17009660955274944
242,0.1951369579507692
243,0.20440752342837143
244,0.9401220817513388
245,0.16056236929760762
246,0.36432291372401937
247,0.34457925050762356
248,0.5789315771715086
249,0.9149667035705864
250,0.8726753676028609
251,0.3762503802740978
252,0.9599964242695762
253,0.4728117547421165
254,0.8261590275460452
255,0.24089271826867997
256,0.9140303480543291
257,0.8835847472808458
258,0.5189011643240901
259,0.17414483939660225
260,0.9287831184977996
261,0.8046519199467878
262,0.767054648772404
263,0.12810053539447078
264,0.8778929116163633
265,0.15989544590643648
266,0.9162508626762119
267,0.8982035515954148
268,0.7040445023443476
269,0.5794344690066178
270,0.3079990896855452
271,0.9456822797163031
272,0.8936010909910042
273,0.9554359762663459
274,0.8922859058397706
275,0.9340528986092953
276,0.92468182039612
277,0.29180899450285075
278,0.8173938092001811
279,0.4180066073276586
280,0.884781487883842
281,0.9482212111753345
282,0.6540385689727358
283,0.6212289298723357
284,0.9423820625865146
285,0.7870709908990126
286,0.5488374509002032
287,0.8714755840437372
288,0.9330546845972725
289,0.40545486569494854
290,0.9563829453049433
291,0.24304984617542513
292,0.6085704380064292
293,0.19443133625802392
294,0.2041772473571366
295,0.9074524532079498
296,0.9688188621557217
297,0.26364045421746507
298,0.725443224548787
299,0.918879373098016
300,0.8902702384774328
301,0.9536060009506451
