,result
0,1.0
1,0.0
2,1.0
3,1.0
4,5.828336383858225e-96
5,0.0
6,1.0
7,1.0
8,1.0
9,1.0
10,1.0
11,3.456818248183634e-136
12,1.0
13,1.0
14,1.0
15,1.0
16,0.0
17,1.667004277578243e-55
18,1.0
19,1.0809823585292993e-308
20,1.0
21,1.0
22,1.0
23,0.0
24,0.0
25,1.0
26,1.0
27,1.0
28,9.830281629632962e-11
29,1.0
30,1.0
31,3.8703248425360115e-145
32,5.279871422318486e-115
33,1.0
34,0.0
35,1.0
36,0.0
37,1.0
38,0.0
39,0.0
40,1.0
41,1.0
42,0.0
43,1.0
44,0.0
45,1.0
46,1.0
47,1.0
48,1.931312442558959e-282
49,0.0
50,0.9871224844718275
51,0.0023960208704657936
52,1.0
53,1.0
54,1.0
55,3.3206241281100303e-32
56,1.0
57,1.0
58,0.0
59,0.0
60,1.0
61,1.0
62,0.0
63,1.0
64,1.0
65,1.0
66,0.0
67,0.0
68,1.0
69,5.19785693810491e-173
70,0.0
71,1.0
72,1.0
73,1.0
74,1.0
75,1.0
76,1.0
77,1.0
78,9.033320339591002e-162
79,3.581335317042876e-247
80,0.0
81,1.0
82,0.0
83,8.037896711184155e-268
84,1.0
85,1.0
86,1.0
87,1.0
88,1.0
89,1.0
90,1.0
91,1.0
92,1.0
93,1.0
94,1.0
95,1.0
96,9.128786213069107e-206
97,1.0
98,1.0
99,1.0
100,1.0
101,2.2697366189333168e-265
102,1.0
103,1.0
104,1.0
105,1.0
106,1.0
107,1.0
108,1.0
109,0.0
110,0.0
111,1.0
112,5.59295962286385e-302
113,2.2048235007158e-118
114,0.0
115,0.0
116,1.0
117,1.0720281412785108e-163
118,1.0
119,8.469826777006789e-72
120,1.0
121,1.0
122,5.293203444312843e-100
123,6.464490078098534e-254
124,1.0
125,1.0
126,6.141613367985153e-28
127,1.0
128,0.0
129,1.0
130,1.0
131,2.1179000508179197e-235
132,1.0
133,1.0
134,1.0
135,1.0
136,1.0
137,1.0
138,1.0
139,1.0
140,1.0
141,1.0
142,0.0
143,1.0
144,1.0
145,0.0
146,1.0
147,1.0
148,0.0
149,1.0
150,1.0
151,0.0
152,0.9999999999999998
153,1.0
154,1.0
155,1.0
156,1.424337393548773e-155
157,3.6469559387470136e-227
158,1.0
159,1.0
160,1.0
161,1.0
162,1.0
163,1.0
164,6.260486012627551e-44
165,0.0
166,1.0
167,0.0
168,6.189275326213076e-151
169,1.0
170,9.242938790891315e-266
171,2.0764240948209295e-250
172,2.7687502187320264e-207
173,0.0
174,1.0
175,3.871027572794036e-193
176,1.0
177,0.0
178,1.0
179,0.0
180,1.0
181,1.0
182,0.0
183,1.0
184,0.0
185,1.0
186,3.324769701943587e-135
187,1.0
188,1.0
189,1.0
190,0.0
191,1.0
192,1.0
193,1.0
194,1.0
195,4.3714787904756936e-27
196,0.9999999999999998
197,1.0
198,1.0
199,1.0
200,1.0
201,1.0
202,0.0
203,1.0
204,1.0
205,1.0
206,1.0
207,1.0
208,1.0
209,8.551176090370913e-24
210,0.0
211,1.0
212,0.0
213,1.0
214,1.0
215,0.0
216,1.0
217,1.0
218,1.0
219,1.0
220,1.0
221,1.0
222,0.0
223,0.0
224,3.8688058004568614e-299
225,1.5082118550397356e-102
226,1.0
227,0.0
228,0.0
229,1.0
230,1.0
231,1.0
232,1.0
233,1.0
234,1.0
235,1.2846682464591817e-27
236,0.0
237,1.0
238,1.0
239,1.0
240,0.0
241,0.0
242,0.0
243,2.4108462409599498e-91
244,1.0
245,1.978805224738991e-252
246,1.0
247,1.0
248,6.719040173441603e-76
249,1.0
250,1.0
251,1.1883005315318685e-131
252,1.0
253,1.0
254,1.0
255,3.0897543564691375e-187
256,1.0
257,1.0
258,1.0
259,0.0
260,1.0
261,1.0
262,0.0006587508933456388
263,1.0
264,1.0
265,0.0
266,1.0
267,1.0
268,1.0
269,1.0
270,1.0
271,1.0
272,1.0
273,1.0
274,1.0
275,1.0
276,1.0
277,9.576316747706295e-193
278,1.0
279,1.0
280,1.0
281,1.0
282,1.0
283,1.0
284,1.0
285,1.0
286,1.0
287,1.0
288,1.0
289,3.788185090289582e-136
290,1.0
291,1.4914147199551258e-198
292,1.0
293,0.0
294,0.0
295,1.0
296,1.0
297,1.0
298,1.0
299,1.0
300,1.0
301,1.0
302,1.0
303,0.0
304,9.857736467285462e-228
305,1.0
306,0.9999947749735012
307,7.818125196842088e-40
308,1.0
309,0.0
310,1.0
311,0.0
312,1.3090449066276498e-141
313,1.0
314,8.358461571644527e-51
315,0.0
316,1.0
317,1.0
318,0.0
319,0.0
320,1.0
321,0.0
322,1.5080921331526152e-211
323,0.0
324,0.0
325,1.0
326,2.0580423384895377e-211
327,3.4677662099241907e-255
328,1.0
329,1.0
